id,bw,duration,packets,data_pkts,data_bytes,rexmit_pkts,rexmit_bytes,rtt_avg,rtt_min,rtt_max,stdev_rtt,rtt_count,reordering,ttl_min,ttl_max,max_seg_size,min_seg_size,win_max,win_min,rtx_RTO,rtx_FR,net_dup,flow_control,unnece_rtx_RTO,stallCount,qualityChanges,skippedFrames,fpsChanges,twitch_backend
10233,9.0,120.0,340.0,69.0,3816.153846153846,0.0,0.0,44.76493492307692,22.608076923076926,140.69446153846155,50.55238292307692,73.0,0.0,64.0,784.3076923076923,31.615384615384617,64339.61538461538,62209.307692307695,0.0,0.0,0.0,0.0,0.0,0.0,2,2,8,8,1.7.0-twitch.1-rc.1
10234,11.0,120.0,189.0,39.0,1669.7,0.0,0.0,52.8514448,32.360200000000006,139.0896,46.0109029,55.0,0.0,64.0,837.7,33.2,64240.0,61798.1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20,8,1.7.0-twitch.1-rc.1
10235,14.0,120.0,568.0,90.0,9539.2,0.0,0.0,46.7942291,0.6368,184.643,64.1839507,54.0,0.0,64.0,859.3,23.7,64369.5,62485.2,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1,8,1.7.0-twitch.1-rc.1
10236,5.0,120.0,475.0,116.0,3005.346153846154,0.0,0.0,24.268585769230768,11.545615384615386,83.80153846153847,29.794037653846154,161.0,0.0,64.0,1160.4615384615386,55.0,64240.0,62313.07692307692,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,10,1.7.0-twitch.1-rc.1
10237,7.0,120.0,651.0,56.0,1546.7692307692307,0.0,0.0,20.15358230769231,0.5055384615384615,106.24515384615384,45.084865,80.0,0.0,64.0,789.7692307692307,25.615384615384617,64439.230769230766,59444.38461538462,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0,9,1.7.0-twitch.1-rc.1
10238,9.0,120.0,231.0,45.0,2068.2,0.0,0.0,16.157305400000002,0.5092,90.398,37.1479742,60.0,0.0,64.0,911.1,25.4,64240.0,60820.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8,10,1.7.0-twitch.1-rc.1
10239,11.0,120.0,631.0,53.0,1646.5,0.0,0.0,17.041580666666665,0.4703333333333333,92.29066666666667,38.521774916666665,74.0,0.0,64.0,789.1666666666666,33.666666666666664,64455.833333333336,61555.25,0.0,0.0,0.0,0.0,0.0,0.0,1,2,119,8,1.7.0-twitch.1-rc.1
10240,14.0,120.0,263.0,46.0,2510.9,0.0,0.0,20.6946787,0.4479,106.69449999999999,46.0496105,57.0,0.0,64.0,1068.3,25.4,64240.0,61954.3,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,10,1.7.0-twitch.1-rc.1
10241,5.0,120.0,177.0,32.0,1393.7777777777778,0.0,0.0,43.02527011111111,27.049555555555557,111.53611111111111,36.22484577777778,46.0,0.0,64.0,782.3333333333334,33.44444444444444,64240.0,62032.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,9,1.7.0-twitch.1-rc.1
10242,7.0,120.0,190.0,43.0,1678.3636363636363,0.0,0.0,23.63920363636364,0.4475454545454545,118.38272727272728,51.74567663636364,60.0,0.0,64.0,875.9090909090909,35.18181818181818,64240.0,62399.818181818184,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,9,1.7.0-twitch.1-rc.1
10243,9.0,120.0,697.0,69.0,3054.153846153846,0.0,0.0,20.014426846153846,0.424,115.29553846153847,46.77460953846154,93.0,0.0,64.0,822.6153846153846,25.615384615384617,64538.846153846156,57718.769230769234,0.0,0.0,0.0,0.0,0.0,0.0,1,1,141,7,1.7.0-twitch.1-rc.1
10244,11.0,120.0,211.0,40.0,1445.4,0.0,0.0,20.3053999,0.35819999999999996,104.8268,45.222560800000004,57.0,0.0,64.0,808.0,35.6,64240.0,61981.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,149,7,1.7.0-twitch.1-rc.1
10245,14.0,120.0,948.0,141.0,2945.9655172413795,0.0,0.0,16.528492379310343,0.5323793103448275,85.49293103448277,36.48005713793104,165.0,0.0,64.0,1193.0344827586207,24.96551724137931,64329.31034482759,61599.1724137931,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,8,1.7.0-twitch.1-rc.1
