id,bw,duration,packets,data_pkts,data_bytes,rexmit_pkts,rexmit_bytes,rtt_avg,rtt_min,rtt_max,stdev_rtt,rtt_count,reordering,ttl_min,ttl_max,max_seg_size,min_seg_size,win_max,win_min,rtx_RTO,rtx_FR,net_dup,flow_control,unnece_rtx_RTO,stallCount,qualityChanges,skippedFrames,fpsChanges,twitch_backend
1998,1.25,60.0,12.0,4.0,2315.0,0.0,0.0,17.168571,15.729,19.007,1.689356,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,1.7.0-twitch.1-rc.1
2000,3.5,60.0,50.0,15.0,7887.5,0.0,0.0,18.4558405,15.169,36.9505,6.136610999999999,16.0,0.0,64.0,1427.0,80.0,68032.0,56000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,6,1.7.0-twitch.1-rc.1
2001,4.5,60.0,151.0,44.0,27949.5,0.0,0.0,19.650789,14.6145,40.084,6.5492930000000005,44.0,0.0,64.0,1422.5,80.0,107584.0,55552.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,4,1.7.0-twitch.1-rc.1
2002,5.5,60.0,14.0,5.0,1244.5,0.0,0.0,108.9233925,106.2835,110.2295,2.1678585,7.0,0.0,64.0,767.5,83.5,64256.0,60672.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,49,6,1.7.0-twitch.1-rc.1
2003,1.25,60.0,10.0,4.0,2417.0,0.0,0.0,16.352341,15.287,17.926,1.21374,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,6,1.7.0-twitch.1-rc.1
2005,3.5,60.0,18.0,7.0,1757.5,0.0,0.0,33.6259625,32.9095,34.5235,0.671156,9.0,0.0,64.0,1001.0,55.5,64256.0,60160.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,5,1.7.0-twitch.1-rc.1
2006,4.5,60.0,16.0,5.0,1252.0,0.0,0.0,74.6227015,73.875,75.2465,0.6664385,7.0,0.0,64.0,767.5,83.5,64256.0,60672.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,2,1.7.0-twitch.1-rc.1
2007,5.5,60.0,12.0,4.0,2316.0,0.0,0.0,16.636834,15.11,18.702,1.535035,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,2,1.7.0-twitch.1-rc.1
2008,1.25,60.0,10.0,4.0,2405.0,0.0,0.0,16.093598,14.921,18.049,1.365688,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,5,1.7.0-twitch.1-rc.1
2010,3.5,60.0,30.0,10.0,4396.0,0.0,0.0,18.427,15.419,24.4955,3.751051,10.0,0.0,64.0,1443.0,80.0,81536.0,56000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,5,4,1.7.0-twitch.1-rc.1
2011,4.5,60.0,15.0,5.0,1244.0,0.0,0.0,91.184818,74.6745,110.905,18.3157025,7.0,0.0,64.0,767.5,83.5,64256.0,60672.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,53,5,1.7.0-twitch.1-rc.1
2012,5.5,60.0,10.0,4.0,2403.0,0.0,0.0,15.685608,15.214,15.946,0.337469,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,4,1.7.0-twitch.1-rc.1
2013,1.25,60.0,12.0,4.0,2325.0,0.0,0.0,16.180845,14.837,18.114,1.394957,4.0,0.0,64.0,1448.0,80.0,64256.0,57216.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,7,1.7.0-twitch.1-rc.1
